epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3995,1.24848,2.12562,1.08439,0.93203,0.63125,0.67867,0.51181,0.86375,0.94007,0.9622,0.000332803,0.000332803,0.000332803
2,172.666,1.02797,0.92499,1.00154,0.88801,0.74563,0.79038,0.57937,0.80362,0.68625,0.93295,0.000659542,0.000659542,0.000659542
3,254.059,0.98597,0.82636,0.98375,0.87326,0.77709,0.82122,0.60386,0.76668,0.63243,0.92197,0.000979681,0.000979681,0.000979681
4,335.665,0.93669,0.75558,0.96204,0.88789,0.79127,0.83937,0.61387,0.76506,0.58939,0.91537,0.0009703,0.0009703,0.0009703
5,417.869,0.91696,0.72672,0.9621,0.90297,0.81346,0.86768,0.64178,0.71532,0.55693,0.91034,0.0009604,0.0009604,0.0009604
6,499.737,0.8753,0.67779,0.9501,0.90753,0.81943,0.87071,0.65196,0.70873,0.52599,0.90462,0.0009505,0.0009505,0.0009505
7,581.99,0.89396,0.67319,0.94903,0.90916,0.81395,0.86799,0.65472,0.68848,0.52461,0.89371,0.0009406,0.0009406,0.0009406
8,664.876,0.86831,0.64834,0.94448,0.92563,0.81262,0.87478,0.65623,0.68695,0.51966,0.89559,0.0009307,0.0009307,0.0009307
9,747.263,0.85993,0.62933,0.9412,0.90873,0.83866,0.8753,0.66611,0.68803,0.50655,0.8916,0.0009208,0.0009208,0.0009208
10,831.022,0.85121,0.6101,0.93651,0.91203,0.83884,0.88011,0.67112,0.66847,0.4882,0.89197,0.0009109,0.0009109,0.0009109
11,913.375,0.82168,0.58759,0.92979,0.93309,0.83677,0.88307,0.67571,0.67468,0.48804,0.88865,0.000901,0.000901,0.000901
12,995.164,0.82442,0.58449,0.92848,0.91906,0.83827,0.88151,0.67635,0.64609,0.47403,0.87966,0.0008911,0.0008911,0.0008911
13,1077.53,0.81135,0.57583,0.92681,0.93219,0.8465,0.88595,0.6863,0.63863,0.46181,0.87731,0.0008812,0.0008812,0.0008812
14,1159.28,0.80776,0.56682,0.92546,0.93868,0.83702,0.88409,0.68009,0.65321,0.4785,0.88337,0.0008713,0.0008713,0.0008713
15,1241.23,0.80765,0.5578,0.92304,0.94279,0.84273,0.88846,0.69217,0.64134,0.45637,0.87964,0.0008614,0.0008614,0.0008614
16,1322.64,0.79843,0.5549,0.92192,0.94476,0.83846,0.89762,0.69099,0.63974,0.44729,0.88192,0.0008515,0.0008515,0.0008515
17,1402.79,0.80186,0.55101,0.92639,0.92533,0.85362,0.88863,0.69028,0.63516,0.44663,0.87912,0.0008416,0.0008416,0.0008416
18,1484.08,0.78025,0.53359,0.91272,0.93785,0.83136,0.88953,0.689,0.62116,0.4413,0.8737,0.0008317,0.0008317,0.0008317
19,1567.58,0.78502,0.53817,0.9189,0.93708,0.8502,0.88881,0.69433,0.62775,0.43565,0.87587,0.0008218,0.0008218,0.0008218
20,1650.77,0.78159,0.52978,0.91732,0.9274,0.86001,0.89463,0.6984,0.62394,0.43203,0.87663,0.0008119,0.0008119,0.0008119
