epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.249,1.19328,1.8465,1.08306,0.94579,0.5145,0.56358,0.4251,0.90204,0.86807,0.96229,0.00033277,0.00033277,0.00033277
2,273.049,0.96007,0.84936,0.98189,0.93606,0.59208,0.65175,0.48562,0.8011,0.66976,0.94204,0.000659509,0.000659509,0.000659509
3,382.891,0.9253,0.7622,0.96733,0.9088,0.62744,0.66712,0.4908,0.77656,0.63211,0.93028,0.000979648,0.000979648,0.000979648
4,485.236,0.90058,0.70449,0.95382,0.93585,0.62015,0.68794,0.51668,0.74735,0.58753,0.92133,0.0009703,0.0009703,0.0009703
5,589.862,0.84291,0.64954,0.9362,0.93933,0.65156,0.69936,0.5219,0.71381,0.55585,0.90534,0.0009604,0.0009604,0.0009604
6,693.652,0.83565,0.62646,0.93161,0.93933,0.64269,0.69154,0.51505,0.74905,0.58426,0.91703,0.0009505,0.0009505,0.0009505
7,796.593,0.8109,0.60345,0.92486,0.92385,0.66082,0.70324,0.53235,0.69604,0.54682,0.8955,0.0009406,0.0009406,0.0009406
8,900.456,0.80811,0.58954,0.92645,0.9394,0.63974,0.70335,0.53319,0.69015,0.52295,0.89386,0.0009307,0.0009307,0.0009307
9,1002.97,0.78869,0.57361,0.92073,0.93471,0.66825,0.70519,0.54176,0.67351,0.50619,0.89558,0.0009208,0.0009208,0.0009208
10,1092.81,0.78657,0.56568,0.9159,0.92928,0.66502,0.71912,0.53633,0.66864,0.4994,0.89153,0.0009109,0.0009109,0.0009109
11,1180.74,0.78028,0.55057,0.91388,0.92245,0.6665,0.71134,0.54192,0.66867,0.49059,0.8918,0.000901,0.000901,0.000901
12,1267.87,0.7705,0.53984,0.91329,0.92497,0.67011,0.72054,0.54788,0.65278,0.48103,0.88507,0.0008911,0.0008911,0.0008911
13,1354.93,0.76447,0.52742,0.9098,0.95157,0.68856,0.72826,0.55576,0.64483,0.46948,0.88215,0.0008812,0.0008812,0.0008812
14,1442.94,0.75123,0.51902,0.90698,0.92305,0.69424,0.72429,0.55511,0.64612,0.46901,0.88458,0.0008713,0.0008713,0.0008713
15,1530.26,0.74011,0.51285,0.90417,0.95023,0.67613,0.72645,0.56236,0.64958,0.45891,0.8873,0.0008614,0.0008614,0.0008614
16,1615.75,0.74214,0.50468,0.90327,0.92939,0.69942,0.74742,0.5717,0.63817,0.44998,0.87898,0.0008515,0.0008515,0.0008515
17,1702.07,0.73677,0.50033,0.90077,0.97257,0.69159,0.76358,0.58663,0.63218,0.44609,0.87743,0.0008416,0.0008416,0.0008416
18,1788.75,0.72853,0.49431,0.90174,0.9573,0.6728,0.7562,0.58438,0.63418,0.45377,0.88165,0.0008317,0.0008317,0.0008317
19,1876.12,0.71582,0.48691,0.89809,0.95342,0.70018,0.73804,0.57486,0.61999,0.44491,0.87423,0.0008218,0.0008218,0.0008218
20,1963.17,0.72471,0.48898,0.89952,0.95742,0.69768,0.74795,0.58492,0.60631,0.43624,0.8736,0.0008119,0.0008119,0.0008119
21,2049.31,0.72247,0.47757,0.89259,0.94987,0.69299,0.73017,0.56294,0.61446,0.4396,0.87446,0.000802,0.000802,0.000802
22,2136.37,0.70931,0.47129,0.89667,0.9486,0.70585,0.73445,0.57126,0.61724,0.42791,0.8708,0.0007921,0.0007921,0.0007921
23,2222.84,0.7144,0.47216,0.89314,0.94647,0.70723,0.73748,0.57249,0.62159,0.43162,0.87468,0.0007822,0.0007822,0.0007822
24,2310.83,0.69912,0.45894,0.88959,0.9596,0.70773,0.73872,0.57977,0.59772,0.41585,0.86778,0.0007723,0.0007723,0.0007723
25,2395.18,0.70638,0.4634,0.89087,0.94158,0.72005,0.74895,0.58181,0.61235,0.42031,0.87255,0.0007624,0.0007624,0.0007624
26,2482.01,0.70884,0.45836,0.89026,0.95583,0.70199,0.73757,0.58446,0.60048,0.42041,0.86887,0.0007525,0.0007525,0.0007525
27,2568.46,0.68752,0.44669,0.8893,0.95951,0.68678,0.73477,0.57875,0.59695,0.40904,0.86645,0.0007426,0.0007426,0.0007426
28,2654.25,0.69548,0.45508,0.89034,0.95017,0.70845,0.73861,0.58269,0.5914,0.4121,0.86584,0.0007327,0.0007327,0.0007327
29,2739.93,0.68317,0.4437,0.88418,0.9653,0.70819,0.73637,0.57585,0.58892,0.40329,0.86753,0.0007228,0.0007228,0.0007228
30,2825.84,0.69298,0.4493,0.88752,0.93101,0.71249,0.73774,0.57578,0.5908,0.41445,0.86736,0.0007129,0.0007129,0.0007129
31,2912.03,0.68623,0.44956,0.88576,0.9581,0.69882,0.73604,0.58058,0.60403,0.42304,0.8706,0.000703,0.000703,0.000703
32,2998.17,0.68337,0.44113,0.88482,0.94801,0.71216,0.74047,0.58443,0.57721,0.40135,0.86234,0.0006931,0.0006931,0.0006931
33,3084.69,0.67641,0.43976,0.88491,0.96653,0.70286,0.74314,0.58423,0.57368,0.40449,0.86137,0.0006832,0.0006832,0.0006832
34,3170.96,0.67498,0.43311,0.88482,0.95254,0.70247,0.73674,0.5806,0.5818,0.39958,0.86315,0.0006733,0.0006733,0.0006733
35,3256.55,0.6736,0.43647,0.88361,0.95231,0.70467,0.74023,0.58273,0.57518,0.40644,0.86465,0.0006634,0.0006634,0.0006634
36,3343.09,0.6675,0.43349,0.88464,0.95047,0.71267,0.73827,0.58594,0.57593,0.40193,0.86229,0.0006535,0.0006535,0.0006535
37,3428.92,0.66824,0.43255,0.88496,0.95985,0.70653,0.73849,0.58709,0.57617,0.39636,0.86162,0.0006436,0.0006436,0.0006436
38,3514.68,0.65766,0.42474,0.88032,0.96763,0.69669,0.74177,0.58374,0.57035,0.39375,0.86081,0.0006337,0.0006337,0.0006337
39,3602.13,0.65807,0.42449,0.88006,0.96083,0.70595,0.74271,0.58744,0.56291,0.38972,0.86246,0.0006238,0.0006238,0.0006238
40,3689.6,0.66133,0.42519,0.88089,0.95245,0.69306,0.74254,0.59248,0.56277,0.39272,0.86176,0.0006139,0.0006139,0.0006139
41,3776.55,0.65457,0.41685,0.87631,0.97376,0.70817,0.74204,0.58687,0.57061,0.38768,0.86089,0.000604,0.000604,0.000604
42,3864.47,0.65782,0.42035,0.87668,0.96247,0.70996,0.74037,0.59085,0.56554,0.38565,0.85827,0.0005941,0.0005941,0.0005941
43,3950.95,0.65264,0.41327,0.87714,0.9722,0.70956,0.74151,0.58891,0.56786,0.38644,0.86239,0.0005842,0.0005842,0.0005842
44,4038.81,0.65097,0.41531,0.8761,0.95837,0.71425,0.74439,0.59047,0.56142,0.38654,0.85917,0.0005743,0.0005743,0.0005743
45,4125.97,0.65241,0.41673,0.87813,0.96073,0.71793,0.74358,0.59122,0.55599,0.38229,0.86016,0.0005644,0.0005644,0.0005644
46,4212.22,0.64415,0.41342,0.87473,0.95859,0.71612,0.74573,0.59658,0.55524,0.38048,0.85707,0.0005545,0.0005545,0.0005545
47,4298.17,0.65141,0.41672,0.87514,0.96238,0.70495,0.74227,0.59055,0.55938,0.38154,0.86017,0.0005446,0.0005446,0.0005446
48,4385.64,0.64669,0.4101,0.87509,0.9609,0.70698,0.74263,0.59191,0.55441,0.37908,0.8572,0.0005347,0.0005347,0.0005347
49,4472.54,0.64025,0.40442,0.87536,0.96714,0.71065,0.74399,0.59534,0.55681,0.37538,0.85677,0.0005248,0.0005248,0.0005248
50,4558.83,0.63403,0.40338,0.87292,0.95849,0.71137,0.74595,0.59906,0.54931,0.37566,0.85564,0.0005149,0.0005149,0.0005149
51,4645.34,0.6345,0.40006,0.8738,0.9734,0.70222,0.74357,0.59148,0.55162,0.37435,0.85785,0.000505,0.000505,0.000505
52,4732.69,0.64114,0.4042,0.87441,0.97844,0.70232,0.74715,0.59643,0.55523,0.37796,0.85682,0.0004951,0.0004951,0.0004951
53,4818.97,0.63754,0.39826,0.87094,0.97747,0.70244,0.74651,0.60246,0.54477,0.37193,0.85483,0.0004852,0.0004852,0.0004852
54,4906,0.62701,0.39971,0.87149,0.97473,0.71015,0.74975,0.6008,0.53985,0.36409,0.85032,0.0004753,0.0004753,0.0004753
55,4992.74,0.6252,0.39471,0.87145,0.978,0.70812,0.74837,0.60767,0.54454,0.36504,0.85347,0.0004654,0.0004654,0.0004654
56,5079.82,0.62246,0.39595,0.87001,0.97512,0.70459,0.74525,0.60352,0.54438,0.36167,0.85241,0.0004555,0.0004555,0.0004555
57,5166.01,0.62582,0.3932,0.8722,0.97655,0.70944,0.74552,0.59957,0.54089,0.36938,0.85347,0.0004456,0.0004456,0.0004456
58,5251.32,0.61669,0.39112,0.87061,0.97508,0.70552,0.74564,0.60509,0.53969,0.36582,0.85208,0.0004357,0.0004357,0.0004357
59,5338.38,0.61921,0.39355,0.86835,0.96625,0.71622,0.74478,0.60383,0.53958,0.36471,0.85249,0.0004258,0.0004258,0.0004258
60,5423.83,0.61582,0.38975,0.86989,0.96893,0.70667,0.74595,0.60529,0.53265,0.36053,0.85096,0.0004159,0.0004159,0.0004159
61,5509.71,0.60916,0.38314,0.86392,0.9766,0.71391,0.7502,0.60561,0.53723,0.36397,0.85043,0.000406,0.000406,0.000406
62,5595.83,0.60583,0.38262,0.86821,0.97225,0.71665,0.75008,0.60311,0.53663,0.3612,0.85085,0.0003961,0.0003961,0.0003961
63,5682.17,0.61254,0.38521,0.86714,0.9661,0.71816,0.74903,0.60802,0.53162,0.3567,0.85112,0.0003862,0.0003862,0.0003862
64,5768.72,0.61572,0.38501,0.86846,0.97405,0.71289,0.74645,0.60483,0.52674,0.35947,0.84876,0.0003763,0.0003763,0.0003763
65,5854.94,0.60939,0.37842,0.86736,0.97237,0.71831,0.748,0.60719,0.53009,0.35865,0.84888,0.0003664,0.0003664,0.0003664
